APK Name,Eye,Head,Environment,Hand,Body,Face
160_小城市汉化版_Little_Cities_[1.1.3.63],12,9,9,91,16,4
161_小文冒险汉化_Ven_Adventure_[1.39],10,52,22,178,85,13
164_小魔女学院汉化版_Little_Witch_v1.2.0.707,12,31,189,172,111,12
165_尖端计划汉化中文版_Apex_Construct_v56.0.56,23,42,15,240,52,8
166_尤皮特格勒_2_Yupitergrad_2_v1.1.0.27,-1,-1,-1,-1,-1,-1
167_层层恐惧_Layers_of_Fear_v2.0.36,35,41,29,391,121,10
168_屠夫之家汉化中文版_Butcher_v1.1,17,12,7,58,23,4
169_崩溃之地汉化版Crashland_[1.01.66],74,31,9,213,34,1
170_左轮轮盘_Bullet_Roulette_v1.2.4,18,21,21,210,52,2
171_巨蛇狂奔_Snakes_Roam_[2.2],14,6,8,120,30,0
172_巫师华尔兹汉化版_Waltz_of_the_Wizard_Natural_Magic_[2.1.3.633],18,44,0,123,19,0
174_帝国时代_Deisim_v1.40.106,1,1,1,31,15,0
175_幸运的小狐狸汉化版_Luckys_Tale_[1.0.54.43],31,30,14,44,47,12
176_幸运鱼面包_LuckyFishBread_v0.1.2.18,11,4,4,60,15,19
179_幽灵信号_Ghost_Signal_v1.1.0.309,0,11,0,27,1,3
180_幽灵巨人汉化中文版_Ghost_Giant_[1.0.32],0,0,6,3,2,4
181_庄园惊魂_AFFECTED_The_Manor_(Re-Visited)_v1.3.85,14,13,14,56,22,0
182_建造城市_Cities_v1.00.502.502,2,7,15,68,30,4
183_建造火车_TrainerVR_v2.2.3,18,6,7,97,15,0
184_弓箭吃鸡_HiBow_V0.8.0.1,127,200,38,519,233,9
185_引导冥想_Guided_Meditation_Quest_v1.5.53.201553,31,19,8,63,34,3
187_强盗六号_BanditSix_v1.1.0.130,34,1,6,9,1,1
188_强窃危机_Crisis_igade_v1.30.30,12,10,12,103,15,8
189_彩虹六号_Breachers_v11.5.6.1665,0,0,0,0,0,0
191_影子谜题_Silhouette_v1.0.6.75,11,1,7,40,14,0
192_征服巨人汉化版_DvG_Conquering_Giants_[1.3.4.39],4,8,2,85,39,1
194_御风飞行1汉化版_Windlands_v1.4.3.43,13,3,7,42,20,0
195_心脏病医学汉化中文版VR_Fetal_Heart_2021_2.04,12,6,7,89,22,0
196_忍者传说汉化版_Ninja_Legends_1.0.1068,11,16,13,200,52,2
197_忍者圆盘_Disc_Ninja_Q.1071.1071,5,5,7,60,14,0
198_快乐厨房_Cook-Out_v1.14.220773,3,18,37,82,38,3
199_怪兽_KAIJU_MONSTER_v1.6,7,2,0,25,2,0
200_怪士奇谭汉化中文_Ayakashikitan_1.000.6,6,31,3,33,46,0
201_恐怖大厅_Dreadhalls_v1.6.19.10619,11,10,70,73,29,0
202_恐怖逃生_Cosmodread_v1.0.0.28.10028,6,13,29,51,25,1
204_恶狼行动_回归_Operation_Wolf_Returns_First_Mission_0.27.27,6,0,3,0,4,0
205_愤怒的小鸟汉化中文版_Angry_Birds_Isle_of_Pigs_[3.5.100058],6,6,5,35,6,1
206_我希望你死_I_Expect_You_to_Die_v1.1.174681,19,10,12,166,25,0
208_战地行动_Operation_Warcade_[1.4.23],26,6,5,126,20,1
210_战斗团体汉化版_BattleGroupVR_v29.29,1,10,11,14,7,8
211_战斗天赋_BattleTalent_v3.1.29,67,47,25,557,263,53
212_战斗艺术_Art_of_Combat_1.0.2d.9,4,6,1,75,9,0
213_战机_太平洋战争_Warplanes_Battles_over_Pacific_v1.3.0.6.1306,15,14,7,44,24,1
214_战机大战_Warplanes_WW1_Fighters_v4.2.4200,15,12,7,46,21,1
215_战锤40K汉化中文版_Warhammer_40K_Battle_Sister_[1.2.3.15451051],20,31,18,208,62,9
217_房产达人_House_Flipper_v9.5.95,4,3,14,69,8,0
219_打僵尸双重打击汉化版_Drop_Dead_Dual_Strike_v1.5.1.1733232053_zipaligned,8,40,16,97,40,10
220_扔东西砸僵尸_ThrowAnything_v1.0.7,11,1,10,71,14,1
221_投篮机_JUST_HOOPS_v1.3.66.182,110,44,1,43,17,3
