APK Name,Eye,Head,Environment,Hand,Body,Face
109_城市建造_VR（有com文件夹）_Cities_VR_1.00.299_VTX,2,5,15,52,30,0
110_城镇叠叠乐Townscaper_VR_1.2.0_VTX,0,0,0,3,0,0
111_墙来了 OhShape_2.0.0.000,5,13,4,142,8,0
112_墙来了OhShape_2.0_VTX(5.3.x),5,12,4,126,8,0
113_墙裂要球Smash_Walls-RogueBall_1.1.1,-1,-1,-1,-1,-1,-1
"114_墨之韵You,_Caligrapher_1.0.2.7_FNAL(5.3.x)",0,6,0,15,0,0
115_多合一夏季运动会Summer_Sports_0.2.0,0,0,7,0,4,6
116_多合一运动  All_In_One_Sports_1.0.0_52_FNAL_1,6,45,19,131,13,5
117_多米诺骨牌Gadgeteer_1.1.3_FNAL(5.3.x),0,5,6,1,14,6
118_大力水冲PICO_Pressure_Washer_1.1.0.5_FNAL(1),0,0,0,0,0,0
119_大力水冲PICO_Pressure_Washer_1.1.0.5_FNAL,0,0,0,0,0,0
120_大卫·斯莱德之谜：案件档案David_Slade_Mysteries_Case_Files_3.3b_大卫·斯莱德之谜：案件档案David_Slade_Mysteries_Case_Files_3.3b,5,29,3,28,46,9
121_大卫·斯莱德之谜：案件档案（有com文件夹）_David_Slade_Mysteries_Case_Files_3.3b_FNAL,5,29,3,28,46,9
124_天镜：王国乱斗Skyworld-Kingdom_Brawl_1.0,2,14,19,168,7,15
126_太空健身计划Space_Fitness_V1.1_FNAL(5.3.x),69,41,11,47,47,8
127_太空城市建造Spacefolk_City_1.19.32_HTS,3,6,8,86,17,14
128_太空尽头EndSpace_1.0.7_VTX(5.3.x),66,10,5,25,4,0
129_太空海盗训练师_SpacePirateTrainer_2102-928202235147PM,25,20,46,119,79,23
131_太空飞行Space_Flight_1.2_(CN)_FNAL,71,7,6,8,4,0
135_奇幻丛林Wonderglade_1.10_VTX(5.3.x),78,17,2,28,17,1
136_奇幻滑雪3Fancy_Skiing_3_FAVTX(5.3.x),1,1,4,12,0,0
137_奥术黑客Arcaxer_FAVTX(5.3.x),79,15,25,74,17,3
138_女海盗 成名之路Madame_Pirate_1.0.2_FNAL,0,1,0,0,0,0
139_妖怪捉迷藏Obakeidoro_1.0.15_FNAL,5,7,49,22,27,3
140_妙探闯通关Sam_and_Max_VR_1.0.2_FNAL,17,24,5,110,18,1
141_宇宙海盗Space_pirate_trainer_v2102_FAVTX(5.3.x),25,20,46,119,79,23
142_宇航员木星失衡Yupitergrad_2.0.2_FNAL,9,0,3,23,8,0
143_宇航者2_土星失衡 Yupitergrad_2_1.0.0_(min_5.5.0)_FNAL,-1,-1,-1,-1,-1,-1
144_守卫者Defender_1.2_2_FNAL,69,7,5,9,1,0
146_守护者Guardians_1.1.1_FNAL_Guardians_1.1.1_FNAL,14,47,24,215,73,3
147_守护者Guardians_1.1.2_HTS_Guardians_1.1.2_HTS,14,47,27,216,73,3
149_安沙尔2：超速行驶（有com文件夹）_安沙尔2：超速行驶Anshar_2-Hyperdrive_201,11,13,48,45,20,32
150_完美棒球Totally_Baseball_2.5652_FNAL,39,27,16,210,42,23
152_实况钓鱼RealVrFishing_1.010 外服_RealVrFishing_1.010,25,7,33,108,29,6
153_家中的刽子手Hangman_at_Home_1.4_FNAL(5.3.x),6,9,11,5,0,0
154_射箭对战Archery_Battle_1.0.3,4,11,2,33,8,0
155_小吃店的实习生Intern_at_the_Snack_Bar_1.5.8_(CN)_FNAL,0,0,0,6,0,3
156_小土豆大冒险Kartoffl_1.0.012_FNAL,6,5,0,25,2,0
157_小小运动会Realm_Sport_1.1.4_FNAL,0,0,0,6,3,5
158_小怪兽：超级派对Little_Monster_Super_Party_CN_1.3.1_VTX,7,45,48,46,11,0
160_小鸟冒险合集_AeryVR_1.9.1_FNAL,12,3,3,1,2,0
161_小鸟冒险合集_Aery：冷静的头脑 Aery-CalmMindVR_1.0.31_FNAL,12,7,3,33,7,0
162_小鸟冒险合集_Aery：梦境 Aery-DreamscapeVR_1.0.1_FNAL,12,7,3,33,7,0
163_小鸟冒险合集_Aery：破碎的记忆 Aery-BrokenMemoriesVR_1.0.3_FNAL,12,7,3,33,7,0
164_小鸟冒险合集_Aery：超越时间 Aery-BeyondTimeVR_1.0.3_FNAL,12,7,3,33,7,0
165_崩溃大陆Crashland_1.024_HTS,24,13,1,115,72,2
166_巴黎圣母院（有com文件夹）_Eternal_Notre-Dame_1.6.2_FNAL,11,9,6,54,16,0
167_幻音骑士(5.6.x)_Synth_Riders_2.3.25.a2_FNAL,61,27,59,183,43,2
168_幽灵信号：群星游戏Ghost_Signal-A_Stellaris_Game_1.0.2_FNAL_Ghost_Signal-A_Stellaris_Game_1.0.2_FNAL,-1,-1,-1,-1,-1,-1
169_庄园惊魂Affected_The_Manor_FNAL(5.3.x),14,14,13,93,23,0
170_库贝街22-7号Arithmaze_Fun_House_2.3_FNAL,69,11,4,11,2,0
171_废土时速Death_Lap_6.67_667_FNAL(5.3.x),75,20,24,96,13,1
172_废墟法师（有com文件夹）_RUINSMAGUS_1.1.0.159_FNAL,12,3,5,120,47,2
173_建筑大师(5.6.x)_MasterBuilder_0.9.7.4_HTS,12,7,6,131,32,0
174_建筑大师MasterBuilder_0.9.6.7_FNAL,12,7,6,129,32,0
175_异星入侵_EnterVR_2.0,3,5,14,30,12,1
176_异构之巅Apex_Construct_38_FNAL(5.3.x),2,27,8,34,15,1
177_彩虹六号Breachers_11.7.41_FNAL_Breachers_11.7.41_FNAL,0,0,0,0,0,0
178_彩虹六号Breachers_12.0.24_FNAL_Breachers_12.0.24_FNAL,-1,-1,-1,-1,-1,-1
179_彩虹反应堆：聚变Rainbow_Reactor-Fusion_1.0.29_FNAL,0,1,0,31,11,0
180_御风飞行2(5.6.x)_Windlands_2_1.0.4_FNAL_Windlands_2_1.0.4_FNAL,17,42,14,88,30,2
181_德米欧 地堡奇谭(5.6.x)_Demeo_1.30.215558_FNAL,10,9,31,380,18,10
182_心松Ultimatecare_Sleephelper_4.0_(CN)_Ultimatecare_Sleephelper_4.0_(CN)_FNAL,0,0,0,10,0,0
183_心跳女友千雅篇Heartbeat_Girlfriend_Qianya_Chapter_1.3.6_(CN)_FNAL,0,1,0,13,0,0
184_忍者传说Ninja_Legends_1.0.11_29_(CN)_FNAL,72,23,15,201,53,2
